model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,fourier_features,scale
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1206.1842644013554,241.37835279267907,0.023879652842879295,3.8795437812805176,0.001,3,32,2,1,cuda,2000,32,10
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1604.434274859856,241.37835279267907,0.02637566439807415,3.901798725128174,0.001,3,32,2,1,cuda,2000,32,20
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1758.9186446306057,241.37835279267907,0.027452819049358368,3.9592339992523193,0.001,3,32,2,1,cuda,2000,32,20
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1480.5497680827477,241.37835279267907,0.025547649711370468,3.911120653152466,0.001,3,32,2,1,cuda,2000,32,20
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1426.9993659533968,241.37835279267907,0.026027116924524307,3.936915397644043,0.001,3,32,2,1,cuda,2000,32,20
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1372.563008544595,241.37835279267907,0.02654281072318554,3.922356367111206,0.001,3,32,2,1,cuda,2000,32,20
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1034.8121535621653,146.62219666474985,0.018154973164200783,5.0400776863098145,0.001,3,32,2,1,cuda,2000,64,10
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1565.0624830049364,146.62219666474985,0.02096846140921116,4.992776393890381,0.001,3,32,2,1,cuda,2000,64,10
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1115.0309689277944,146.62219666474985,0.018738167360424995,4.962043285369873,0.001,3,32,2,1,cuda,2000,64,10
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1089.7359307019747,146.62219666474985,0.018109682947397232,4.944079160690308,0.001,3,32,2,1,cuda,2000,64,10
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1035.8429891440762,146.62219666474985,0.019197499379515648,4.974522352218628,0.001,3,32,2,1,cuda,2000,64,10
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1340.019459347808,146.62219666474985,0.02366945892572403,4.95821738243103,0.001,3,32,2,1,cuda,2000,64,20
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1984.9510084609271,146.62219666474985,0.027590010315179825,4.948513984680176,0.001,3,32,2,1,cuda,2000,64,20
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1420.4145135228414,146.62219666474985,0.02249106392264366,4.94771409034729,0.001,3,32,2,1,cuda,2000,64,20
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1320.8257574569109,146.62219666474985,0.023384982720017433,4.9524986743927,0.001,3,32,2,1,cuda,2000,64,20
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1400.216687060743,146.62219666474985,0.025026164948940277,4.9420270919799805,0.001,3,32,2,1,cuda,2000,64,20
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1617.5403946515228,181.04804733727812,0.027019498869776726,0.27002525329589844,0.001,3,32,3,1,cuda,100,32,10
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,181.04804733727812,0.030014872550964355,0.26899075508117676,0.001,3,32,3,1,cuda,100,32,10
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,181.04804733727812,0.0267763864248991,0.2776374816894531,0.001,3,32,3,1,cuda,100,32,10
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.9563292231426,181.04804733727812,0.02676253952085972,0.2706444263458252,0.001,3,32,3,1,cuda,100,32,10
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1390.9247589315596,181.04804733727812,0.0266988817602396,0.31452250480651855,0.001,3,32,3,1,cuda,100,32,10
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,181.04804733727812,0.02792942151427269,0.2713792324066162,0.001,3,32,3,1,cuda,100,32,20
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,181.04804733727812,0.0303110983222723,0.27040672302246094,0.001,3,32,3,1,cuda,100,32,20
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,181.04804733727812,0.02723625861108303,0.2691507339477539,0.001,3,32,3,1,cuda,100,32,20
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,181.04804733727812,0.027042975649237633,0.2770864963531494,0.001,3,32,3,1,cuda,100,32,20
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,181.04804733727812,0.02754514291882515,0.26823949813842773,0.001,3,32,3,1,cuda,100,32,20
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1469.6152003848729,121.93974175035868,0.024587271735072136,0.3255164623260498,0.001,3,32,3,1,cuda,100,64,10
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1687.873775048109,121.93974175035868,0.02631150186061859,0.3551461696624756,0.001,3,32,3,1,cuda,100,64,10
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.3825601886713,121.93974175035868,0.02639687992632389,0.38283419609069824,0.001,3,32,3,1,cuda,100,64,10
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,121.93974175035868,0.02664092369377613,0.3280775547027588,0.001,3,32,3,1,cuda,100,64,10
