model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,287.4955682103414,22.721758502896183,0.005118669476360083,20.308955430984497,0.001,3,128,3,1,cuda,2000,True,200,15
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,267.68552595799866,22.721758502896183,0.006491172593086958,20.277249813079834,0.001,3,128,3,1,cuda,2000,True,200,15
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,273.60707282254015,22.721758502896183,0.006537372712045908,20.262046337127686,0.001,3,128,3,1,cuda,2000,True,200,15
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,364.6980670076138,22.721758502896183,0.0036474857479333878,20.269396543502808,0.001,3,128,3,1,cuda,2000,True,200,30
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,408.5905797669846,22.721758502896183,0.004787004552781582,20.338080644607544,0.001,3,128,3,1,cuda,2000,True,200,30
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,281.1915029911312,22.721758502896183,0.003878762014210224,20.26088809967041,0.001,3,128,3,1,cuda,2000,True,200,30
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,265.03279001422356,22.721758502896183,0.003547342959791422,20.257073402404785,0.001,3,128,3,1,cuda,2000,True,200,30
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,295.412586544093,22.721758502896183,0.004177252762019634,20.276623249053955,0.001,3,128,3,1,cuda,2000,True,200,30
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,283.11287206116134,22.721758502896183,0.004097980447113514,20.308833122253418,0.001,3,128,3,1,cuda,2000,True,200,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,436.5369433463019,22.721758502896183,0.0056369723752141,20.260974407196045,0.001,3,128,3,1,cuda,2000,True,200,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,347.5963136399766,22.721758502896183,0.004190343897789717,20.265453338623047,0.001,3,128,3,1,cuda,2000,True,200,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,204.94767873577644,22.721758502896183,0.003245118074119091,20.258906364440918,0.001,3,128,3,1,cuda,2000,True,200,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,220.44299594210173,22.721758502896183,0.0035680944565683603,20.262025356292725,0.001,3,128,3,1,cuda,2000,True,200,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,117.22664093875503,15.244594136755884,0.0018024970777332783,27.551905632019043,0.001,3,128,4,1,cuda,2000,True,80,15
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,144.42850438211178,15.244594136755884,0.001979672349989414,27.558677196502686,0.001,3,128,4,1,cuda,2000,True,80,15
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,148.01984108308233,15.244594136755884,0.0019281981512904167,27.557180404663086,0.001,3,128,4,1,cuda,2000,True,80,15
