model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_fraction,refresh_interval,outermost_linear
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,8971.810909000586,22.721758502896183,0.1396108865737915,6.150506973266602,0.001,3,128,3,1,cuda,1000,0.5,1,False
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,8235.09406898427,22.721758502896183,0.12732404470443726,6.172874689102173,0.001,3,128,3,1,cuda,1000,0.5,1,False
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,454.68458207831327,22.721758502896183,0.007971780374646187,7.3194801807403564,0.001,3,128,3,1,cuda,1000,0.5,10,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,524.3595331848227,22.721758502896183,0.008854796178638935,7.340648889541626,0.001,3,128,3,1,cuda,1000,0.5,10,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,454.64297293340024,22.721758502896183,0.008224976249039173,7.2057294845581055,0.001,3,128,3,1,cuda,1000,0.5,10,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,386.8945011818106,22.721758502896183,0.007869613356888294,7.310043096542358,0.001,3,128,3,1,cuda,1000,0.5,10,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,411.49221887550203,22.721758502896183,0.008210157044231892,7.285747289657593,0.001,3,128,3,1,cuda,1000,0.5,10,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7094.191591888387,22.721758502896183,0.11383333057165146,7.359737396240234,0.001,3,128,3,1,cuda,1000,0.5,10,False
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,5068.645505197875,22.721758502896183,0.07111318409442902,7.340399742126465,0.001,3,128,3,1,cuda,1000,0.5,10,False
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7024.783881620231,22.721758502896183,0.10753403604030609,7.269530773162842,0.001,3,128,3,1,cuda,1000,0.5,10,False
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,2095.4010102911648,22.721758502896183,0.04754628241062164,7.249316692352295,0.001,3,128,3,1,cuda,1000,0.5,10,False
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,8591.623389390898,22.721758502896183,0.1516607254743576,7.313377141952515,0.001,3,128,3,1,cuda,1000,0.5,10,False
