model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,input_scale,weight_scale
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,895.9179243013722,83.57128810226155,0.017526958137750626,11.876547813415527,0.001,3,64,2,1,cuda,2000,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,852.54449176916,83.57128810226155,0.017847824841737747,11.87874722480774,0.001,3,64,2,1,cuda,2000,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1305.7561156082663,56.373203625912005,0.02463725581765175,0.8297266960144043,0.001,3,64,3,1,cuda,100,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1455.1988187123493,56.373203625912005,0.02277512103319168,0.8310506343841553,0.001,3,64,3,1,cuda,100,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1106.9122767110107,56.373203625912005,0.019936950877308846,0.8295772075653076,0.001,3,64,3,1,cuda,100,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1020.5882710529619,56.373203625912005,0.019670087844133377,0.828667163848877,0.001,3,64,3,1,cuda,100,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,989.9561461993809,56.373203625912005,0.020054683089256287,0.8368299007415771,0.001,3,64,3,1,cuda,100,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,839.0841608621988,56.373203625912005,0.014683598652482033,4.131119012832642,0.001,3,64,3,1,cuda,500,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1053.9082933295683,56.373203625912005,0.016330191865563393,4.133071660995483,0.001,3,64,3,1,cuda,500,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,812.7762429928046,56.373203625912005,0.014631448313593864,4.131969451904297,0.001,3,64,3,1,cuda,500,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,732.4274912148594,56.373203625912005,0.014463131316006184,4.132383584976196,0.001,3,64,3,1,cuda,500,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,688.9498501819779,56.373203625912005,0.014762175269424915,4.131316184997559,0.001,3,64,3,1,cuda,500,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,820.983360525435,56.373203625912005,0.01390529703348875,8.259158611297607,0.001,3,64,3,1,cuda,1000,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,984.787561705154,56.373203625912005,0.015436903573572636,8.258830785751343,0.001,3,64,3,1,cuda,1000,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,767.8183018532463,56.373203625912005,0.01387732196599245,8.258944034576416,0.001,3,64,3,1,cuda,1000,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,703.560148144662,56.373203625912005,0.013828667812049389,8.30710768699646,0.001,3,64,3,1,cuda,1000,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,653.5477391336178,56.373203625912005,0.013925914652645588,8.261606216430664,0.001,3,64,3,1,cuda,1000,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,797.8487988411981,56.373203625912005,0.013670532032847404,16.513956308364868,0.001,3,64,3,1,cuda,2000,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,967.0358007551038,56.373203625912005,0.014986788854002953,16.51563334465027,0.001,3,64,3,1,cuda,2000,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,756.3931899472891,56.373203625912005,0.013632663525640965,16.516868114471436,0.001,3,64,3,1,cuda,2000,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,677.4810844942269,56.373203625912005,0.013266148045659065,16.517975330352783,0.001,3,64,3,1,cuda,2000,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,642.519000481091,56.373203625912005,0.013563229702413082,16.51766300201416,0.001,3,64,3,1,cuda,2000,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1025.157766482597,42.53144286905755,0.017670640721917152,1.0615909099578857,0.001,3,64,4,1,cuda,100,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1330.0235773824465,42.53144286905755,0.02150253765285015,1.0615172386169434,0.001,3,64,4,1,cuda,100,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1048.7113767570281,42.53144286905755,0.018900398164987564,1.0611677169799805,0.001,3,64,4,1,cuda,100,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,893.7319473205321,42.53144286905755,0.017520951107144356,1.060314416885376,0.001,3,64,4,1,cuda,100,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,897.7864413382697,42.53144286905755,0.018365321680903435,1.060194969177246,0.001,3,64,4,1,cuda,100,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,679.593555210425,42.53144286905755,0.011675799265503883,5.290230989456177,0.001,3,64,4,1,cuda,500,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,821.6663594482095,42.53144286905755,0.01300031691789627,5.292244911193848,0.001,3,64,4,1,cuda,500,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,661.2376289010208,42.53144286905755,0.011933219619095325,5.294756889343262,0.001,3,64,4,1,cuda,500,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,583.297295954652,42.53144286905755,0.011883067898452282,5.291187524795532,0.001,3,64,4,1,cuda,500,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,556.0424458249665,42.53144286905755,0.012065976858139038,5.314958572387695,0.001,3,64,4,1,cuda,500,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,641.909141775435,42.53144286905755,0.011150053702294827,10.577975273132324,0.001,3,64,4,1,cuda,1000,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,762.7197527087517,42.53144286905755,0.012425745837390423,10.577635049819946,0.001,3,64,4,1,cuda,1000,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,630.1569729438588,42.53144286905755,0.011167763732373714,10.577175855636597,0.001,3,64,4,1,cuda,1000,256.0,1.0
