model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_percent,outermost_linear,original_psnr
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1675.0352229229418,5.757182102133744,0.004375624936074,167.89312958717346,0.001,256,3,2000,0.5,True,27.957276048806534
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1862.0532795243475,5.757182102133744,0.0047473674640059,164.00084567070007,0.001,256,3,2000,0.5,True,27.497594453374603
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1601.7373216825636,5.757182102133744,0.0041629262268543,171.96497440338135,0.001,256,3,2000,0.5,True,28.151602536840215
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1558.9755741716867,5.757182102133744,0.0043130423873662,161.87680459022522,0.001,256,3,2000,0.5,True,28.269122379948964
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1457.7598244540663,5.757182102133744,0.004435446113348,161.8919997215271,0.001,256,3,2000,0.5,True,28.560655717717193
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1507.5591362847222,3.8504960811851583,0.0062712617218494,10.873265743255615,0.001,256,4,100,0.5,True,28.414771917635843
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1693.980692300452,3.8504960811851583,0.0069883968681097,10.226954698562622,0.001,256,4,100,0.5,True,27.90843092757737
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1419.774187897423,3.8504960811851583,0.0065701771527528,10.013662099838257,0.001,256,4,100,0.5,True,28.675322725167888
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1370.1153624916333,3.8504960811851583,0.0064082411117851,10.876891851425173,0.001,256,4,100,0.5,True,28.82994412863067
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1299.2435366465863,3.8504960811851583,0.0078200241550803,11.643858432769775,0.001,256,4,100,0.5,True,29.06060983753781
