model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,fourier_features,scale,original_psnr
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1034.8121535621651,146.62219666474985,0.0181549731642007,5.040077686309815,0.001,32,2,2000,64,10,30.04890028032607
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1565.0624830049364,146.62219666474985,0.0209684614092111,4.992776393890381,0.001,32,2,2000,64,10,28.252198679181273
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1115.0309689277944,146.62219666474985,0.0187381673604249,4.962043285369873,0.001,32,2,2000,64,10,29.724646190980003
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1089.735930701975,146.62219666474985,0.0181096829473972,4.944079160690308,0.001,32,2,2000,64,10,29.82430278104613
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1035.8429891440762,146.62219666474985,0.0191974993795156,4.974522352218628,0.001,32,2,2000,64,10,30.044576177942005
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1340.019459347808,146.62219666474985,0.023669458925724,4.95821738243103,0.001,32,2,2000,64,20,28.92640443666452
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1984.9510084609271,146.62219666474985,0.0275900103151798,4.948513984680176,0.001,32,2,2000,64,20,27.22001756568534
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1420.4145135228414,146.62219666474985,0.0224910639226436,4.94771409034729,0.001,32,2,2000,64,20,28.673364475771905
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1320.8257574569109,146.62219666474985,0.0233849827200174,4.9524986743927,0.001,32,2,2000,64,20,28.989060192419625
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1400.216687060743,146.62219666474985,0.0250261649489402,4.9420270919799805,0.001,32,2,2000,64,20,28.73556299722541
